qid,question_text,target
0001d772cf3019016119,Where can I download Microsoft Word for Windows 2.0 in Hungarian?,0
0001dffd4f210f6beedb,What do I need to know about buying a car in South Africa as an American?,0
0001eebc552c65f7cec2,"As someone who didn't enjoy Harry Potter and the Order of the Phoenix movie, can I at least enjoy the book of it?",0
0001f0071f939299b1eb,"What is the writing style of the book ""How to Resist Prince Charming"" by Linda Kage?",0
00020645f451fd420349,My mother expects me to memorize all her usernames and passwords. How can I make her more responsible about them as I will be going to college in one year?,0
000209378782897bbd75,"What is that movie in which a kid is fooled into thinking that germs will kill him and so he lives in a bubble for most of his life, but then decides to travel the world in a portable germ-free bubble?",0
00021a90cbe0ce61b32a,"Why most of the computer science student buy final year project from outside rather doing it by own, is our education system really that week?",0
00021d9215546ed1218e,"What are some ways to shorten your period, and what are the risks of doing it?",0
00022b535fb044b4d890,Why do we calead leap year.?,0
000249b78b87885aae04,How many days will it take to get rid of spleen enlargement?,0
00025639893f22884858,"Which machine learning techniques can be used to extract metadata (font color, size, indentation and alignment) of a word document (.docx) file, and can it be integrated with a web application?",0
000256f123aa2d179519,Does it work with girls the way Hitch Will Smith asks not to dance too much?,0
00027243b612fd34c656,Why India Act 1935 was so special?,0
00028c229b2c0b653c9f,Are there any sports that you don't like?,0
0002911c277ef4279692,How do DNA and RNA compare and contrast?,0
00029d76717deaff60f6,Someone breaks into your house you shoot and kill them they were armed with only a knife what happens now?,0
0002a5d3323091795169,How can I write a biography about Gianni Versace?,0
0002afefccf8ba6bc77a,Are extroverted better and faster at processing and expelling information than introverts?,0
0002b9d73d24af32a648,Have you ever been recognized at a place very far from your home?,0
0002bab68e02485cb64a,Why do price comparison websites work well in financial services?,0
0002c107cf3c31895a5b,Does ragging happen at NIFT Bangalore?,0
0002c3835360dcb57597,Why their are so many bad reviews of Bahubali 2 on IMDb?,0
0002e51174cc70f6c8f7,Is swallowing Listerine dangerous?,0
0002f3b3cfe43608d043,What are the theories in critical thinking?,0
0002f70cd6c744df04fb,"What are the biggest problems, questions, doubts that you come across when trying to choose the paint color for a room?",0
0002f8ab3bf8d179a3b8,How can I get cheap flights in Edinburgh?,0
0003105b9e363b93d2cb,What is China's new chick?,0
000328ae66a708c0622d,How do I send large picture files through an email?,0
0003295da69adf36fd0c,Why doesn't eBay allow the sale of WWII purple heart medals even though they have categories specifically for WWII military medals?,0
00032cb9dab5b4033cc4,What are the characteristics that define isovolumetric relaxation?,0
00032ccff3c5f6fc0d00,How do I work in cybersecurity overseas?,0
00033991dd3302d609e2,Do web developer refer to W3C standard practice?,0
000349b6feabae3f6253,Why has the internet become a problem? Why do we rely on it for everything?,0
00034c0cdb2a9a04be3e,Can we get ITC on charges levied by banks?,0
00034d41fede3435d72c,Where is Muhammed now?,0
0003637c6061714d52a2,What are the services that can be provided by a food testing lab and what are their certified requirements?,0
00038603da34d34f87cd,Is it ok to be solo your whole life and pretend no one exists? Is there such thing as being unwanted?,0
0003888b6173d1b67eda,How do I change the owner of a current YouTube account? The original Owner was let go and I do not have access to change anything.,0
00038db9f9728f7e1775,Are the Archer characters animated based on celebrities?,0
00038ee6bf4553590414,What is the best way to propose a girl without annoying her?,0
0003a067fbf4d02393a2,What can $500 million get you in solar power?,0
0003a1d388c596990438,What are the recommended 2D game engines for a beginning Python programmer?,0
0003a32a4c69db9ba24c,Is there such a thing as teleological pantheism?,0
0003a3c38ffc828004d8,What are some best college for aircraft propulsion(M.S)?,0
0003bc3a60964971ddfd,What countries in the world have freedom of speech on par with the US?,0
0003c2d35a826c62f194,What lead to the Red Terror in Ethiopia?,0
0003cf279e2d16706bfb,What is the best pen at low cost in all sorts of things?,0
0003d2546ef7cfb68592,Do you trust a business that has a Facebook page as its website?,0
0003dd88b54929c683bd,Should we improve our piano skill by keep practicing hard pieces? Is that the most effective way?,0
0003ec83eeb432806fb4,"I wear an insulin pump, and a lot of girls don't like it. Nick Jonas wears one and dated Selena Gomez. Is there difference between me and Nick several zeros missing in my bank account?",0
0003ed83c24563455692,Will Turkey be seperated and give a land to Kurds because of foreign powers like USA in the future?,0
0003f094c836f6fb71e7,R sq. cos-1 when r=18.5 equals?,0
0004186360074b604164,Who sings the song in my head?,0
00041ab3e4fc034848cf,Can Chronicled replace supply Chain?,0
00041ba380e361cefb78,How can you solve this equation… Sin(a*t)-b*t=0?,0
0004205e9c6b9cbde64d,What are the demerits of excellence in academic pursuits?,0
